name,street,houseNumber,postalCode,city,country,coordinats/0,coordinats/1
Parafia Rzymskokatolicka Świętej Anny,Chorzowska 21,21,41-900,Bytom,Poland,50.33976425,18.935281601335348
Parafia Rzymskokatolicka Świętej Barbary,Józefa Chełmońskiego 18,18,41-900,Bytom,Poland,50.3558956,18.9238108
Parafia Rzymskokatolicka Świętego Jacka,Jana Matejki 1,1,41-900,Bytom,Poland,50.35027665,18.928689423095783
Parafia Rzymskokatolicka Świętego Józefa Robotnika,Strzelców Bytomskich 187,187,41-900,Bytom,Poland,50.385864,18.880196
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Marii Skłodowskiej-Curie 9,9,41-900,Bytom,Poland,50.34642745,18.905320726290334
Parafia Rzymskokatolicka Podwyższenia  Krzyża Świętego,Juliusza Ligonia 2,2,41-900,Bytom,Poland,50.354788,18.910712850000003
Parafia Rzymskokatolicka Trójcy Świętej,Józefa Kwietniewskiego 1,1,41-900,Bytom,Poland,50.348570499999994,18.91976435495705
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Księdza Karola Koziołka 3,3,41-900,Bytom,Poland,50.3482554,18.922451369622447
Parafia Rzymskokatolicka Świętego Wojciecha,Klasztorny 5,5,41-900,Bytom,Poland,50.3456384,18.9243971
Parafia Rzymskokatolicka Świętego Michała Archanioła,Księdza Pawła Jaskółki 1,1,41-900,Bytom,Poland,50.4011867,18.8762988
Parafia Rzymskokatolicka Świętej Małgorzaty,Małgorzatki 7,7,41-900,Bytom,Poland,50.3409504,18.9154928
Parafia Rzymskokatolicka Świętej Rodziny,Konstytucji 24,24,41-900,Bytom,Poland,50.3351861,18.8702374
Parafia Rzymskokatolicka Dobrego Pasterza,Księdza Jerzego Popiełuszki 4,4,41-900,Bytom,Poland,50.3505186,18.875223
Parafia Rzymskokatolicka Bożego Ciała,Kasztanowa 3,3,41-900,Bytom,Poland,50.3653905,18.8500098
Parafia Rzymskokatolicka Świętego Krzyża,Księdza Jana Frenzla 42,42,41-900,Bytom,Poland,50.3582449,18.8566625
Parafia Rzymskokatolicka Chrystusa Króla,Suchogórska 127,127,41-900,Bytom,Poland,50.3884117,18.8193026
Parafia Rzymskokatolicka Najświętszej Maryi Panny Matki Kościoła,dr. Henryka Jordana 84,84,41-800,Zabrze,Poland,50.3786469,18.810393166623765
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Andrzeja Frycza Modrzewskiego 2,2,41-900,Bytom,Poland,50.3356309,18.896322395111042
Parafia Rzymskokatolicka Wniebowstąpienia Pańskiego,Wyzwolenia 85,85,41-900,Bytom,Poland,50.339912,18.904233146316557
Parafia Rzymskokatolicka Świętych Piotra i Pawła,Jana Pawła II 5,5,44-100,Gliwice,Poland,50.29143945,18.666084712961453
Parafia Rzymskokatolicka Matki Boskiej Częstochowskiej,Jana Kilińskiego 2,2,44-122,Gliwice,Poland,50.2758506,18.669158003993275
Parafia Rzymskokatolicka Świętego Michała Archanioła,Bolesława Krzywoustego 1,1,44-100,Gliwice,Poland,50.28913755,18.674931971034624
Parafia Rzymskokatolicka Najświętszej Maryi Panny Matki Kościoła,Pliszki 20,20,44-122,Gliwice,Poland,50.2769462,18.651822101095355
Parafia Rzymskokatolicka Podwyższenia Krzyża Świętego,Ignacego Daszyńskiego 2,2,44-100,Gliwice,Poland,50.29659085,18.65715504957835
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Kozielska 50,50,44-121,Gliwice,Poland,50.30059395,18.650248117813952
Parafia Rzymskokatolicka Wszystkich Świętych,Kościelna 4,4,44-100,Gliwice,Poland,50.295718199999996,18.664659380739835
Parafia Rzymskokatolicka Świętego Antoniego,Bartosza Głowackiego 3,3,44-100,Gliwice,Poland,50.2867586,18.64364087633753
Parafia Rzymskokatolicka Świętego Bartłomieja,Bernardyńska 19,19,44-102,Gliwice,Poland,50.31152635,18.672373080091482
Parafia Rzymskokatolicka Matki Boskiej Kochawińskiej,Mikołaja Kopernika 63A,63A,44-117,Gliwice,Poland,50.3191114,18.65819227233581
Parafia Rzymskokatolicka Świętej Jadwigi,Zamojska 14,14,44-164,Gliwice,Poland,50.3260771,18.572270999473687
Parafia Rzymskokatolicka Świętej Anny,Przyszowska 36,36,44-113,Gliwice,Poland,50.33905245,18.64172810921462
Parafia Rzymskokatolicka Świętego Jerzego,Radosna 2,2,44-109,Gliwice,Poland,50.3491207,18.626841706075147
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Staromiejska 25,25,44-109,Gliwice,Poland,50.33715934999999,18.617641924210496
Parafia Rzymskokatolicka Świętego Gerarda,Wiejska 17,17,44-121,Gliwice,Poland,50.308848850000004,18.62113142434586
Parafia Rzymskokatolicka Świętego Mikołaja,Marcina 10,10,44-153,Kozłów,Poland,50.31129,18.56292
Parafia Rzymskokatolicka Świętego Jakuba,Kościelna 3,3,44-153,Sośnicowice,Poland,50.2721459,18.53136545
Parafia Rzymskokatolicka Ducha Świętego,Nauczycielska 1,1,44-151,Gliwice,Poland,50.28422915,18.600577514057672
Parafia Rzymskokatolicka Ścięcia Świętego Jana Chrzciciela,Dworcowa 35,35,44-145,Pilchowice,Poland,50.2155403,18.562403679456523
Parafia Rzymskokatolicka Świętego Bartłomieja,Kościelna 1,1,44-153,Smolnica,Poland,50.25163,18.56926
Parafia Rzymskokatolicka Narodzenia Najświętszej Maryi Panny,Rolników 188,188,44-141,Gliwice,Poland,50.2513042,18.680104329128415
Parafia Rzymskokatolicka Świętego Michała Archanioła,Leopolda Miki 3,3,44-144,Żernica,Poland,50.2467689,18.616872400367647
Parafia Rzymskokatolicka Chrystusa Króla,Stefana Okrzei 31,31,44-100,Gliwice,Poland,50.301025,18.694039729419938
Parafia Rzymskokatolicka Miłosierdzia Bożego,Strzelnicza 83,83,44-105,Gliwice,Poland,50.3226595,18.692423804073172
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Franciszkańska 1,1,44-100,Gliwice,Poland,50.2931232,18.68985446268403
Parafia Rzymskokatolicka Świętej Rodziny,Chorzowska 46,46,44-100,Gliwice,Poland,50.29904485,18.70534308156569
Parafia Rzymskokatolicka Świętego Józefa,św. Józefa 1,1,44-100,Gliwice,Poland,50.27875655,18.698898306017846
Parafia Rzymskokatolicka Świętego Jacka,Przedwiośnie 1,1,44-119,Gliwice,Poland,50.28727725,18.733794337337176
Parafia Rzymskokatolicka Najświętszej Maryi Panny Wspomożenia Wiernych,Antoniego Stabika 9,9,44-103,Gliwice,Poland,50.292419,18.72855962936893
Parafia Rzymskokatolicka Świętego Jana Chrzciciela,Józefa Elsnera 21,21,44-105,Gliwice,Poland,50.3242559,18.709386223715693
Parafia Rzymskokatolicka Trójcy Świętej,Kościelna 14,14,44-153,Bargłówka,Poland,50.2259946,18.476829790394973
Parafia Rzymskokatolicka Świętego Marcina,Gliwicka 16,16,44-145,Stanica,Poland,50.20550145,18.51621073518672
Parafia Rzymskokatolicka Świętej Anny,Szkolna 24,24,47-440,Babice,Poland,50.13688325,18.30222335
Parafia Rzymskokatolicka Świętej Anny,Kościelna 15,15,47-244,Dziergowice,Poland,50.2415387,18.28710737064059
Parafia Rzymskokatolicka Dobrego Pasterza,Ofiar Oświęcimskich 55,55,47-440,Górki Śląskie,Poland,50.14092765,18.387835473871494
Parafia Rzymskokatolicka Świętej Marii Magdaleny,Kościelna 14,14,47-420,Kuźnia Raciborska,Poland,50.20040955,18.310598299390243
Parafia Rzymskokatolicka Matki Boskiej Różańcowej,Kościelna 2,2,47-440,Nędza,Poland,50.1611865,18.312188399999997
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Cysterska 1,1,47-430,Rudy,Poland,50.194051900000005,18.44852886462266
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Kościelna 2,2,47-420,Turze,Poland,50.1923359,18.2634074
Parafia Rzymskokatolicka Świętego Józefa Robotnika,Raciborska 43,43,47-440,Zawada Książęca,Poland,50.1533143,18.2513354
Parafia Rzymskokatolicka Świętego Stanisława Biskupa i Męczennika,ks. Misia 2,2,42-713,Jawornica,Poland,50.689297800000006,18.706033350737826
Parafia Rzymskokatolicka Najświętszej Maryi Panny Królowej,Kokotek 22,22,42-700,Lubliniec,Poland,50.5958821,18.70317880603448
Parafia Rzymskokatolicka Świętego Jana Nepomucena,Nowa 5a,5a,42-700,Lisowice,Poland,50.6798472,18.63279634013694
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Główna 42,42,42-713,Lubecko,Poland,50.6987584,18.6529344
Parafia Rzymskokatolicka Podwyższenia Krzyża Świętego,Stalmacha 3,3,42-700,Lubliniec,Poland,50.66833605,18.686204289222466
Parafia Rzymskokatolicka Świętego Mikołaja,św. Mikołaja 1,1,42-700,Lubliniec,Poland,50.668740299999996,18.681229282331362
Parafia Rzymskokatolicka Świętego Stanisława Kostki,Piłsudskiego 6,6,42-700,Lubliniec,Poland,50.668567800000005,18.677692593084704
Parafia Rzymskokatolicka Świętej Teresy Benedykty od Krzyża,Żeromskiego 2,2,42-700,Lubliniec,Poland,50.68997425,18.667432300635095
